City_ID,City_ID,City,Cloudiness,Current Temperature,Humidity,Lat,Lng,Max Temp,Wind Speed
0,0,Pisco,0,clear sky,78,-13.7,-76.2167,69.85,8.05
2,2,Ponta Delgada,40,scattered clouds,72,37.7333,-25.6667,57.92,10.36
5,5,Ribeira Grande,100,overcast clouds,59,38.5167,-28.7,58.32,18.66
7,7,Evensk,37,scattered clouds,59,61.95,159.2333,25.86,18.28
9,9,Atherton,100,overcast clouds,81,53.5237,-2.4935,53.29,1.99
14,14,Khandyga,100,overcast clouds,87,62.6667,135.6,8.01,3.0
16,16,Hovd,0,clear sky,50,48.0056,91.6419,24.21,11.7
19,19,Punta Arenas,75,broken clouds,71,-53.15,-70.9167,55.51,20.71
24,24,Bayan,8,clear sky,70,46.0833,127.4,29.79,16.75
25,25,Luau,100,overcast clouds,95,-10.7073,22.2247,65.66,1.16
26,26,Kodiak,100,overcast clouds,87,57.79,-152.4072,42.31,5.75
27,27,Lebu,5,clear sky,88,-37.6167,-73.65,58.06,21.39
28,28,Mount Gambier,57,broken clouds,44,-37.8333,140.7667,67.17,6.71
29,29,Ponta Do Sol,94,overcast clouds,76,32.6667,-17.1,65.07,7.02
30,30,Guerrero Negro,97,overcast clouds,72,27.9769,-114.0611,60.82,17.67
32,32,Castro,100,overcast clouds,95,-24.7911,-50.0119,65.08,1.83
33,33,Cape Town,0,clear sky,80,-33.9258,18.4232,67.12,4.56
35,35,Ouesso,100,light rain,99,1.6136,16.0517,69.53,1.57
36,36,Albany,100,overcast clouds,87,42.6001,-73.9662,33.89,2.71
37,37,Saint George,0,clear sky,25,37.1041,-113.5841,43.63,24.16
39,39,Victor Harbor,89,overcast clouds,68,-35.5667,138.6167,68.0,9.1
42,42,Lithakia,90,overcast clouds,53,37.7167,20.8333,33.17,12.48
44,44,Lompoc,0,clear sky,74,34.6391,-120.4579,66.34,14.0
46,46,Sioux Lookout,100,overcast clouds,86,50.1001,-91.917,8.76,9.42
48,48,Severo-Kurilsk,100,light snow,92,50.6789,156.125,31.08,16.02
51,51,Mountain Home,0,clear sky,100,43.133,-115.6912,31.48,5.75
52,52,Grindavik,100,overcast clouds,81,63.8424,-22.4338,42.91,24.02
53,53,San Quintin,24,few clouds,82,30.4833,-115.95,57.81,14.47
54,54,Kant,0,clear sky,38,27.8,79.8,64.56,5.77
55,55,Talcahuano,0,clear sky,77,-36.7167,-73.1167,58.68,11.5
56,56,Nanortalik,0,clear sky,72,60.1432,-45.2371,7.93,7.38
59,59,Pacific Grove,0,clear sky,67,36.6177,-121.9166,60.48,13.0
60,60,Honningsvag,54,broken clouds,82,70.9821,25.9704,39.16,39.71
61,61,New Norfolk,13,few clouds,40,-42.7826,147.0587,69.66,3.0
